曲线id,控制点序号,类别,x,y,z
0,0,端点,0.0,-0.0,0.0048
0,1,控制点,-2.3682,1.6477,-1.4903
0,2,控制点,6.955,-5.8337,-8.0929
0,3,控制点,-7.5706,4.2404,-5.6116
0,4,控制点,-0.2593,0.4547,-10.1142
0,5,端点,-0.0032,0.0022,-12.0011
1,0,端点,-1.1073,0.1793,-7.426
1,1,控制点,0.2024,0.8549,-8.0296
1,2,控制点,-2.1733,2.254,-9.9736
1,3,控制点,4.3915,1.0824,-10.9163
1,4,控制点,-0.5526,4.1896,-9.7857
1,5,端点,0.2482,4.9934,-10.74
2,0,端点,1.0192,2.3557,-10.2194
2,1,控制点,1.5685,2.5943,-10.5719
2,2,控制点,1.2979,3.0703,-11.5684
2,3,控制点,1.7955,4.161,-9.8915
2,4,控制点,2.3094,4.1496,-11.0609
2,5,端点,2.6785,4.7774,-10.7714
3,0,端点,1.0192,2.3557,-10.2194
3,1,控制点,1.0061,2.7779,-10.7162
3,2,控制点,1.445,3.7183,-10.9868
3,3,控制点,0.7533,3.6152,-12.1611
3,4,控制点,0.1482,3.3815,-12.2584
3,5,端点,-0.5004,3.4596,-12.5782
4,0,端点,-1.5347,0.5667,-7.6937
4,1,控制点,-1.0755,0.4211,-8.7005
4,2,控制点,-0.2395,0.5972,-10.5643
4,3,控制点,-0.0968,0.4339,-10.4686
4,4,控制点,1.5791,2.5847,-12.2479
4,5,端点,1.1214,1.0509,-13.0554
5,0,端点,0.8974,1.5187,-11.6627
5,1,控制点,1.0169,1.9501,-12.2152
5,2,控制点,1.3516,2.2964,-12.4482
5,3,控制点,0.9751,2.4958,-13.7294
5,4,控制点,1.9834,3.0258,-13.6227
5,5,端点,2.4885,3.2649,-13.4319
6,0,端点,0.5755,1.2788,-11.3673
6,1,控制点,0.8325,1.5939,-11.7881
6,2,控制点,1.5462,1.9627,-13.3906
6,3,控制点,2.2484,0.1626,-11.3391
6,4,控制点,2.8818,1.1896,-11.867
6,5,端点,3.5719,1.1962,-11.4907
7,0,端点,-1.7652,0.9597,-8.4323
7,1,控制点,-1.7465,0.066,-9.3159
7,2,控制点,-2.5345,0.3579,-10.8414
7,3,控制点,-1.9727,-1.141,-11.4152
7,4,控制点,-2.2801,-1.9701,-12.3322
7,5,端点,-2.7669,-2.0074,-13.5426
8,0,端点,-2.3313,-1.673,-12.3283
8,1,控制点,-2.7092,-1.8272,-12.8132
8,2,控制点,-3.0039,-3.2718,-12.4493
8,3,控制点,-3.006,-2.6439,-13.764
8,4,控制点,-3.8755,-2.7775,-13.7957
8,5,端点,-4.2389,-2.9418,-14.2763
9,0,端点,-2.1998,-0.6396,-11.1393
9,1,控制点,-1.7697,-0.8229,-11.4933
9,2,控制点,-0.6917,-0.757,-12.2614
9,3,控制点,-1.2928,-2.2487,-12.2132
9,4,控制点,-1.4115,-2.554,-12.2474
9,5,端点,-1.5845,-3.3199,-12.3489
