点序号,曲线id,段内序号,类别,x,y,z
0,0,0,起点,0.0,-0.0,0.0048
1,0,1,中间点,0.1873,-0.4014,-2.5978
2,0,2,中间点,0.0991,-0.5627,-4.8737
3,0,3,中间点,-0.154,-0.4828,-6.0637
4,0,4,中间点,-0.6089,-0.2046,-6.9628
5,0,5,中间点,-0.9743,0.072,-7.3308
6,0,6,中间点,-1.4237,0.4486,-7.6196
7,0,7,中间点,-1.7107,0.7637,-7.8595
8,0,8,中间点,-1.7989,0.946,-8.253
9,0,9,中间点,-1.5997,0.9179,-8.9488
10,0,10,中间点,-0.9335,0.5695,-10.3121
11,0,11,终点,-0.0032,0.0022,-12.0011
12,1,0,起点,-1.1073,0.1793,-7.426
13,1,1,中间点,-0.4907,0.9938,-8.4755
14,1,2,中间点,0.1201,1.661,-9.3806
15,1,3,中间点,0.4753,1.9787,-9.838
16,1,4,中间点,0.7649,2.1735,-10.1365
17,1,5,中间点,0.8624,2.2092,-10.2101
18,1,6,中间点,1.0802,2.4237,-10.1492
19,1,7,中间点,1.0311,2.5178,-10.1507
20,1,8,中间点,0.894,2.7665,-10.1372
21,1,9,中间点,0.7425,3.1888,-10.1671
22,1,10,中间点,0.4883,4.0148,-10.386
23,1,11,终点,0.2482,4.9934,-10.74
24,2,0,起点,1.0661,2.4196,-10.2054
25,2,1,中间点,1.2028,2.5002,-10.4039
26,2,2,中间点,1.3348,2.6503,-10.5431
27,2,3,中间点,1.3859,2.7016,-10.6715
28,2,4,中间点,1.4167,2.7953,-10.7468
29,2,5,中间点,1.433,2.9223,-10.7716
30,2,6,中间点,1.4618,3.0894,-10.7498
31,2,7,中间点,1.5399,3.2779,-10.7458
32,2,8,中间点,1.6834,3.5543,-10.7261
33,2,9,中间点,1.8827,3.8439,-10.7204
34,2,10,中间点,2.2576,4.3061,-10.7302
35,2,11,终点,2.6785,4.7774,-10.7714
36,3,0,起点,0.9723,2.2918,-10.2334
37,3,1,中间点,1.0594,2.6757,-10.5076
38,3,2,中间点,1.1008,3.0258,-10.8214
39,3,3,中间点,1.0824,3.2228,-11.0659
40,3,4,中间点,1.0084,3.3853,-11.3284
41,3,5,中间点,0.8955,3.4596,-11.5427
42,3,6,中间点,0.7394,3.4981,-11.7771
43,3,7,中间点,0.5558,3.4988,-11.9604
44,3,8,中间点,0.3159,3.475,-12.1552
45,3,9,中间点,0.0783,3.4591,-12.3081
46,3,10,中间点,-0.2223,3.4458,-12.4648
47,3,11,终点,-0.5004,3.4596,-12.5782
48,4,0,起点,-1.5347,0.5667,-7.6937
49,4,1,中间点,-1.1745,0.472,-8.5288
50,4,2,中间点,-0.7204,0.5147,-9.4177
51,4,3,中间点,-0.3639,0.6464,-10.0185
52,4,4,中间点,0.0578,0.8909,-10.6549
53,4,5,中间点,0.3663,1.1152,-11.0802
54,4,6,中间点,0.7053,1.3736,-11.5283
55,4,7,中间点,0.8821,1.4307,-11.8961
56,4,8,中间点,1.1195,1.6715,-12.2362
57,4,9,中间点,1.1804,1.6154,-12.4771
58,4,10,中间点,1.2104,1.4103,-12.7952
59,4,11,终点,1.1214,1.0509,-13.0554
60,5,0,起点,0.8974,1.5187,-11.6627
61,5,1,中间点,0.9301,1.6407,-11.7861
62,5,2,中间点,1.01,1.8199,-12.0309
63,5,3,中间点,1.0728,1.9666,-12.2521
64,5,4,中间点,1.149,2.1456,-12.5355
65,5,5,中间点,1.2198,2.2953,-12.7684
66,5,6,中间点,1.3053,2.4657,-13.0517
67,5,7,中间点,1.4356,2.5849,-13.2756
68,5,8,中间点,1.6207,2.7686,-13.4616
69,5,9,中间点,1.8317,2.9265,-13.5358
70,5,10,中间点,2.1611,3.1026,-13.5393
71,5,11,终点,2.4885,3.2649,-13.4319
72,6,0,起点,0.5755,1.2788,-11.3673
73,6,1,中间点,0.7779,1.4374,-11.703
74,6,2,中间点,0.9895,1.5275,-11.9928
75,6,3,中间点,1.1613,1.5169,-12.1439
76,6,4,中间点,1.3589,1.4438,-12.2296
77,6,5,中间点,1.5555,1.3336,-12.2313
78,6,6,中间点,1.7961,1.1978,-12.1715
79,6,7,中间点,2.0371,1.0893,-12.0768
80,6,8,中间点,2.3646,0.9998,-11.9291
81,6,9,中间点,2.681,0.9804,-11.7961
82,6,10,中间点,3.1397,1.0474,-11.6235
83,6,11,终点,3.5719,1.1962,-11.4907
84,7,0,起点,-1.7652,0.9597,-8.4323
85,7,1,中间点,-1.9677,0.3079,-9.6027
86,7,2,中间点,-2.1347,-0.3393,-10.672
87,7,3,中间点,-2.2242,-0.7406,-11.3211
88,7,4,中间点,-2.2681,-1.1175,-11.7362
89,7,5,中间点,-2.2914,-1.3285,-11.9637
90,7,6,中间点,-2.2985,-1.4951,-12.1224
91,7,7,中间点,-2.3049,-1.5898,-12.1964
92,7,8,中间点,-2.3804,-1.7445,-12.4603
93,7,9,中间点,-2.4346,-1.7857,-12.6392
94,7,10,中间点,-2.5894,-1.8961,-13.0398
95,7,11,终点,-2.7669,-2.0074,-13.5426
96,8,0,起点,-2.3313,-1.673,-12.3283
97,8,1,中间点,-2.5924,-2.0081,-12.5681
98,8,2,中间点,-2.8072,-2.3016,-12.7703
99,8,3,中间点,-2.8953,-2.4694,-12.874
100,8,4,中间点,-2.9618,-2.5889,-12.9463
101,8,5,中间点,-2.9883,-2.6706,-12.987
102,8,6,中间点,-3.0247,-2.7193,-13.0694
103,8,7,中间点,-3.1073,-2.7323,-13.2053
104,8,8,中间点,-3.2525,-2.7389,-13.3921
105,8,9,中间点,-3.4532,-2.7627,-13.5908
106,8,10,中间点,-3.8192,-2.8399,-13.9249
107,8,11,终点,-4.2389,-2.9418,-14.2763
108,9,0,起点,-2.1998,-0.6396,-11.1393
109,9,1,中间点,-1.8735,-0.7228,-11.3928
110,9,2,中间点,-1.5808,-0.8621,-11.6448
111,9,3,中间点,-1.4075,-1.0102,-11.8086
112,9,4,中间点,-1.2793,-1.2164,-11.9565
113,9,5,中间点,-1.2299,-1.435,-12.0485
114,9,6,中间点,-1.2203,-1.7058,-12.1413
115,9,7,中间点,-1.2506,-1.9719,-12.1843
116,9,8,中间点,-1.3231,-2.3088,-12.2328
117,9,9,中间点,-1.4013,-2.6064,-12.2633
118,9,10,中间点,-1.5016,-2.9873,-12.3112
119,9,11,终点,-1.5845,-3.3199,-12.3489
