序号,级别,编号1,编号2,编号3,编号4,类别,x,y,z,粗细,成熟度,上节点,下节点
0,1,0,0,,,首节点,0.0,0.0,0.0,0.2,1.0,,
1,1,0,1,,,采样点,0.1397,-0.1573,-0.3275,0.1989,1.0,,
2,1,0,2,,,采样点,0.2569,-0.295,-0.6477,0.1978,1.0,,
3,1,0,3,,,采样点,0.3528,-0.414,-0.9607,0.1967,1.0,,
4,1,0,4,,,采样点,0.4283,-0.5149,-1.2668,0.1956,1.0,,
5,1,0,5,,,采样点,0.4846,-0.5988,-1.5663,0.1944,1.0,,
6,1,0,6,,,采样点,0.5227,-0.6664,-1.8595,0.1931,1.0,,
7,1,0,7,,,采样点,0.5437,-0.7185,-2.1465,0.1919,1.0,,
8,1,0,8,,,采样点,0.5486,-0.756,-2.4277,0.1905,1.0,,
9,1,0,9,,,采样点,0.5385,-0.7797,-2.7032,0.1892,1.0,,
10,1,0,10,,,采样点,0.5145,-0.7905,-2.9734,0.1877,1.0,,
11,1,0,11,,,采样点,0.4775,-0.7892,-3.2384,0.1863,1.0,,
12,1,0,12,,,采样点,0.4288,-0.7766,-3.4986,0.1847,1.0,,
13,1,0,13,,,采样点,0.3692,-0.7535,-3.7542,0.1831,1.0,,
14,1,0,14,,,采样点,0.3,-0.7208,-4.0054,0.1814,1.0,,
15,1,0,15,,,采样点,0.2221,-0.6793,-4.2525,0.1796,1.0,,
16,1,0,16,,,采样点,0.1366,-0.6299,-4.4957,0.1777,1.0,,
17,1,0,17,,,采样点,0.0446,-0.5734,-4.7354,0.1756,1.0,,
18,1,0,18,,,采样点,-0.0529,-0.5106,-4.9716,0.1734,1.0,,
19,1,0,19,,,采样点,-0.1547,-0.4424,-5.2048,0.1711,1.0,,
20,1,0,20,,,采样点,-0.26,-0.3696,-5.4351,0.1686,1.0,,
21,1,0,21,,,采样点,-0.3675,-0.2929,-5.6628,0.1659,1.0,,
22,1,0,22,,,采样点,-0.4762,-0.2134,-5.8881,0.1629,1.0,,
23,1,0,23,,,采样点,-0.5851,-0.1317,-6.1114,0.1596,1.0,,
24,1,0,24,,,采样点,-0.6931,-0.0488,-6.3328,0.1559,1.0,,
25,1,0,25,,,采样点,-0.7991,0.0346,-6.5525,0.1519,1.0,,
26,1,0,26,,,采样点,-0.9022,0.1176,-6.771,0.1475,1.0,,
27,1,0,27,,,采样点,-1.0011,0.1994,-6.9883,0.1427,1.0,,
28,1,0,28,,,采样点,-1.0949,0.2791,-7.2048,0.1375,1.0,,
29,1,0,29,,,采样点,-1.1825,0.3559,-7.4207,0.1319,1.0,,
30,1,0,30,,,采样点,-1.2629,0.429,-7.6362,0.1258,1.0,,
31,1,0,31,,,采样点,-1.3349,0.4975,-7.8517,0.119,1.0,,
32,1,0,32,,,采样点,-1.3976,0.5606,-8.0673,0.1112,1.0,,
33,1,0,33,,,采样点,-1.4498,0.6175,-8.2833,0.1028,1.0,,
34,1,0,34,,,采样点,-1.4905,0.6673,-8.5,0.0958,1.0,,
35,1,0,35,,,采样点,-1.5186,0.7093,-8.7176,0.0906,1.0,,
36,1,0,36,,,采样点,-1.5332,0.7425,-8.9363,0.0865,1.0,,
37,1,0,37,,,采样点,-1.533,0.7661,-9.1565,0.0831,1.0,,
38,1,0,38,,,采样点,-1.5171,0.7793,-9.3783,0.0801,1.0,,
39,1,0,39,,,采样点,-1.4844,0.7813,-9.6021,0.0775,1.0,,
40,1,0,40,,,采样点,-1.4339,0.7713,-9.828,0.0752,1.0,,
41,1,0,41,,,采样点,-1.3644,0.7483,-10.0563,0.073,1.0,,
42,1,0,42,,,采样点,-1.2749,0.7116,-10.2873,0.071,1.0,,
43,1,0,43,,,采样点,-1.1644,0.6603,-10.5212,0.0692,1.0,,
44,1,0,44,,,采样点,-1.0318,0.5936,-10.7583,0.0675,1.0,,
45,1,0,45,,,采样点,-0.876,0.5107,-10.9988,0.0658,1.0,,
46,1,0,46,,,采样点,-0.696,0.4107,-11.2429,0.0643,1.0,,
47,1,0,47,,,采样点,-0.4907,0.2928,-11.491,0.0628,1.0,,
48,1,0,48,,,采样点,-0.259,0.1562,-11.7433,0.0614,1.0,,
49,1,0,49,,,末节点,0.0,0.0,-12.0,0.06,1.0,,
50,1,0,50,,,控制点1,2.4702,-2.7345,-5.4111,0.2,1.0,,
51,1,0,51,,,控制点2,-4.4607,2.7157,-7.7698,0.2,1.0,,
52,2,1,0,,,首节点,-1.1065,0.1785,-7.4265,0.1343,0.825,,
53,2,1,1,,,采样点,-1.0448,0.257,-7.566,0.1336,0.825,,
54,2,1,2,,,采样点,-0.9804,0.3342,-7.7016,0.1329,0.825,,
